Year;Facial Hair Style;Number
1904;Goatee;0
1905;Moustache (with Muttonchops);0
1906;Moustache (with Muttonchops);0
1916;Cleanshaven;537
1916;Moustache;12
1928;Goatee;0
1933;Full Beard/Chinstrap;0
1936;Goatee;0
1936;Muttonchops;0
1938;Muttonchops;0
1941;Moustache;65
1948;Goatee;0
1949;Moustache (with Sideburns);0
1949;Cleanshaven;1357
1950;Moustache (with Sideburns);1
1950;Muttonchops;0
1952;Cleanshaven;987
1956;Moustache (with Sideburns);0
1957;Full Beard/Chinstrap;0
1958;Moustache (with Muttonchops);0
1962;Sideburns;2
1970;Goatee;23
1974;Cleanshaven;161
1976;Cleanshaven;168
1982;Cleanshaven;563
1986;Goatee;1
1987;Muttonchops;1
1992;Muttonchops;0
1994;Cleanshaven;994
1996;Moustache (with Sideburns);0
1996;Moustache;12
2002;Sideburns;52
2003;Muttonchops;3
1898;Moustache (with Sideburns);0
1902;Moustache;43
1922;Moustache;61
1928;Muttonchops;0
1928;Moustache;65
1932;Moustache;144
1933;Cleanshaven;932
1935;Moustache (with Muttonchops);0
1938;Moustache (with Muttonchops);0
1939;Muttonchops;0
1943;Muttonchops;0
1947;Cleanshaven;1429
1947;Moustache;74
1949;Full Beard/Chinstrap;0
1953;Moustache (with Muttonchops);0
1959;Goatee;1
1962;Moustache (with Sideburns);0
1962;Cleanshaven;971
1969;Cleanshaven;849
1978;Moustache (with Muttonchops);42
1981;Cleanshaven;477
1983;Moustache;162
1992;Cleanshaven;803
1993;Goatee;5
1993;Muttonchops;1
1999;Moustache (with Sideburns);0
2006;Sideburns;66
2006;Cleanshaven;236
2007;Full Beard/Chinstrap;25
1902;Muttonchops;0
1914;Full Beard/Chinstrap;0
1918;Moustache;28
1919;Muttonchops;0
1934;Moustache (with Sideburns);0
1934;Moustache;91
1940;Sideburns;1
1947;Moustache (with Muttonchops);0
1960;Muttonchops;0
1961;Moustache;5
1970;Full Beard/Chinstrap;52
1976;Moustache (with Sideburns);73
1978;Sideburns;158
1979;Goatee;3
1980;Muttonchops;10
1986;Moustache (with Muttonchops);0
1986;Moustache;154
1988;Moustache (with Muttonchops);0
1995;Full Beard/Chinstrap;19
1996;Muttonchops;3
1998;Moustache;3
2003;Full Beard/Chinstrap;7
1899;Moustache;70
1908;Moustache (with Muttonchops);0
1914;Moustache;3
1915;Full Beard/Chinstrap;0
1917;Sideburns;0
1923;Muttonchops;0
1925;Moustache;47
1928;Moustache (with Muttonchops);0
1930;Sideburns;2
1938;Goatee;0
1948;Sideburns;0
1951;Sideburns;0
1952;Moustache (with Sideburns);0
1957;Moustache;16
1958;Moustache;17
1960;Moustache (with Muttonchops);0
1964;Full Beard/Chinstrap;7
1967;Moustache (with Muttonchops);0
1969;Moustache;17
1979;Muttonchops;38
1981;Moustache (with Sideburns);46
1989;Cleanshaven;651
1993;Sideburns;41
1996;Full Beard/Chinstrap;18
2002;Moustache;2
1900;Cleanshaven;197
1903;Full Beard/Chinstrap;1
1908;Cleanshaven;475
1918;Sideburns;0
1920;Sideburns;0
1922;Moustache (with Muttonchops);0
1930;Moustache;99
1932;Moustache (with Muttonchops);0
1940;Moustache (with Sideburns);0
1940;Cleanshaven;1418
1946;Muttonchops;0
1949;Moustache;127
1950;Cleanshaven;1380
1951;Goatee;0
1954;Moustache (with Muttonchops);0
1959;Moustache (with Muttonchops);0
1959;Muttonchops;0
1963;Moustache;4
1965;Moustache (with Sideburns);0
1967;Moustache (with Sideburns);0
1973;Moustache (with Muttonchops);181
1979;Moustache (with Muttonchops);34
1979;Cleanshaven;267
1988;Goatee;0
1989;Sideburns;1
1991;Goatee;0
1992;Moustache;28
1998;Full Beard/Chinstrap;9
2003;Moustache (with Sideburns);0
2003;Sideburns;43
2008;Moustache (with Muttonchops);0
1906;Moustache (with Sideburns);0
1907;Muttonchops;0
1909;Cleanshaven;455
1910;Moustache (with Muttonchops);0
1914;Sideburns;0
